Abi Masatora
Kaiki Nobuhide
Kainoyama Isamu
Kairyūyama Teruhisa
Kaisei Ichirō
Kaishō Asaki
Kaiō Hiroyuki
Kakizoe Tōru
Kakuryū Rikisaburō
Maruyama Gondazaemon
Maruyama Takahiko
Masaru Maeta
Masatsukasa Kōshin
Sentoryū Henri
Tobizaru Masaya
Tochiakagi Takanori
Tochiazuma Daisuke
Tochiazuma Tomoyori
Tochifuji Katsutake
Tochigiyama Moriya
Tochihikari Masayuki
Tochiisami Yoshiharu
Tochiizumi Takayuki
Tochimatoi Yuko
Tochinishiki Kiyotaka
Tochinohana Hitoshi
Tochinonada Taiichi
Tochinoshin Tsuyoshi
Tochinoumi Teruyoshi
Tochinowaka Kiyotaka
Tochinowaka Michihiro
Tochisakae Atsushi
Tochitsukasa Tetsuo
Tochiōyama Yūki
Tochiōzan Yūichirō
Hachiya Toshiyuki
Hagurohana Toji
Haguroiwa Tomomi
Haguroyama Masaji
Haguroyama Sojō
Hakuba Takeshi
Hakuhō Shō
Hakurozan Yūta
Hamanishiki Tatsurō
Hamanoshima Keishi
Hanahikari Setsuo
Hanakaze Daisaku
Hananokuni Akihiro
Hananosato Yukio
Hananoumi Ken
Homarefuji Yoshiyuki
Hoshiiwato Yūji
Hoshitango Imachi
Kashiwado Risuke
Kashiwado Tsuyoshi
Kasugafuji Akihiro
Kasuganishiki Takahiro
Kasugaō Katsumasa
Katayama Shinji
Katsuhikari Toshio
Kinkaiyama Ryū
Kinoarashi Kazutoshi
Kiribayama Tetsuo
Kirinishiki Toshirō
Kirinji Kazuharu
Kirinowaka Tarō
Kirishima Kazuhiro
Kisenosato Yutaka
Kitabayama Hidetoshi
Kitaharima Seiya
Kitakachidoki Hayato
Kitanofuji Katsuaki
Kitanonada Noboru
Kitanoumi Toshimitsu
Kitaseumi Hiromitsu
Kitataiki Akeyoshi
Kitazakura Hidetoshi
Kiyokuni Katsuo
Kiyonomori Masao
Kiyoseumi Takayuki
Naminohana Kazutaka
Nankairyū Tarō
Nayoroiwa Shizuo
Rohō Yukio
Ura Kazuki
Ushiomaru Motoyasu
Ōga Atsushi
Ōhikari Sadayuki
Ōhinode Takaaki
Ōhō Kōnosuke
Ōikari Tsuyoshi
Ōkido Moriemon
Ōnishiki Daigorō
Ōnishiki Ittetsu
Ōnishiki Uichirō
Ōnobori Mitsuhiro
Ōnohana Taketora
Ōnokuni Yasushi
Ōnomatsu Midorinosuke
Ōnoshō Fumiya
Ōnoumi Hisamitsu
Ōrora Satoshi
Ōshio Kenji
Ōsunaarashi Kintarō
Ōtori Tanigorō
Ōtsukasa Nobuhide
Ōuchiyama Heikichi
Ōyutaka Masachika
Ōzutsu Man'emon
Ōzutsu Takeshi
Harumafuji Kōhei
Harunoyama Tatsunao
Hasegawa Katsutoshi
Hattori Yūji
Hayateumi Hidehito
Hidenokuni Hajime
Hidenoumi Takuya
Hidenoyama Raigorō
Higonoumi Naoya
Hiradoumi Yūki
Hiroshi Wajima
Hishofuji Hiroki
Iwakaze Kakutaro
Iwakiyama Ryūta
Iwashita Eiichi
Washūyama Yoshikazu
Onigatani Saiji
