Adeyto
Nadège Beausson-Diagne
Nane Germon
Sofia Essaïdi
Soko
Suzanne Dalbert
Suzanne Legrand
Vahina Giocante
Édith Scob
Élisa Servier
Élisabeth Margoni
Élise Tielrooy
Élizabeth Bourgine
Élodie Bouchez
Élodie Fontan
Élodie Frenck
Élodie Navarre
Élodie Yung
Éléonore Gosset-Bernheim
Émilie Caen
Éva Darlan
Évelyne Buyle
Évelyne Didi
Évelyne Grandjean
Haydée Politoff
Paulette Christian
Pauline Delpech
Pauline Lafont
Perrette Souplex
Philippine Leroy-Beaulieu
Liina Brunelle
Liliane Bert
Liliane Montevecchi
Liliane Rovère
Lily Bloom
Lilyan Chauvin
Marcelle Hainia
Marcelle Ranson-Hervé
Margaux Châtelier
Noémie Merlant
Ophélia Kolb
Ophélie Winter
Rita Renoir
Nora Arnezeder
Odile Versois
Rosette
Rosy Varte
Sabine Pakora
Sandra Lou
Sandrine Bonnaire
Sandrine Kiberlain
Sanâa Alaoui
Sara Giraudeau
Sara Martins
Sarah Adler
Sarah Barlondo
Sarah Biasini
Tsilla Chelton
Véronique Barrault
Véronique Genest
Véronique Jannot
Véronique Silver
