A. J. Langer
Aaliyah
Betty Buehler
Betty Burbridge
Betty Compson
Betty Compton
Betty Corday
Betty Farrington
Betty Field
Betty Francisco
Betty Furness
Betty Garde
Betty Garrett
Betty Grable
Betty Harford
Betty Harte
Betty Howe
Betty Hutton
Betty Jane Rhodes
Betty Jaynes
Betty Jewel
Betty Kean
Betty Lou Gerson
Betty Lou Holland
Betty Lou Keim
Betty Lynn
Betty Mack
Betty May
Betty Miles
Betty Morrissey
Betty Noyes
Betty Ross Clarke
Betty Rowland
Betty Schade
Betty Thomas
Betty White
Betty Winkler
Bettye Ackerman
Beulah Bondi
Beulah Poynter
Beulah Quo
Beverlee McKinsey
Beverley Mitchell
Beverley Owen
Beverley Sitgreaves
Beverly Aadland
Beverly Adams
Beverly Archer
Beverly Bayne
Beverly D'Angelo
Beverly Garland
Beverly Grant
Beverly Hope Atkinson
Beverly Johnson
Beverly Long
Beverly Michaels
Beverly Roberts
Beverly Sanders
Beverly Todd
Beverly Tyler
Beverly Wills
Bianca Allen
Bianca Ferguson
Bianca Hunter
Bianca Kajlich
Bianca Lawson
Bibi Besch
Bibi Osterwald
Bijie Martin
Bijou Fernandez
Bijou Phillips
Billie Bennett
Billie Bird
Billie Burke
Billie Dove
Billie Lou Watt
Billie Rhodes
Billie Seward
Billie West
Billie Worth
Binnie Barnes
Biograph girl
Bitty Schram
Blair Brown
Blair Ross
Blair Tefkin
Blake Lively
Blanca de Castejón
Blanchard Ryan
Blanche Baker
Blanche Bates
Blanche Chapman
Blanche Craig
Blanche Deyo
Blanche Friderici
Blanche Mehaffey
Blanche Payson
Blanche Ring
Blanche Sweet
Blanche Walsh
Blanche Yurka
Blaze Berdahl
Bliss Milford
Blossom Rock
Blyth Daly
Blythe Danner
Bo Derek
Bobbi Jordan
Bobbie Brown
Bobbie Eakes
Bobbie Phillips
Bobo Lewis
Bodil Rosing
Bonita Friedericy
Bonita Granville
Bonnie-Jill Laflin
Bonnie Aarons
Bonnie Bartlett
Bonnie Bedelia
Bonnie Burroughs
Bonnie Franklin
Bonnie Holiday
Bonnie Hunt
Bonnie MacBird
Bonnie Maginn
Bonnie Poe
Bonnie Somerville
Boots Mallory
Brandi Brandt
Brandon French
Brandy Norwood
Bree Turner
Brenda Bakke
Brenda Benet
Brenda Dickson
Brenda Epperson
Brenda Forbes
Brenda Fowler
Brenda Joyce
Brenda Marshall
Brenda Song
Brenda Strong
Brenda Vaccaro
Brett Butler
Brett Somers
Brette Taylor
Briana Evigan
Brianna Brown
Brianne Siddall
Bridget Fonda
Bridget Hoffman
Bridget Moynahan
Bridget Regan
Bridgetta Clark
Bridgette Andersen
Bridgette Wilson
Brie Larson
Brigid Bazlen
Brigid Brannagh
Brinke Stevens
Britney Spears
Britt Robertson
Britta Phillips
Brittany Daniel
Brittany Ishibashi
Brittany Murphy
Brittany Snow
Brook Kerr
Brook Toland
Brooke Adams
Brooke Bloom
Brooke Bundy
Brooke Burke
Brooke Burns
Brooke Hayward
Brooke Langton
Brooke Shields
Brooke Smith
Brooke Theiss
Bryce Dallas Howard
Brynn Thayer
Bunny Gibson
Busy Philipps
Butterfly McQueen
C. Kelly Wright
CCH Pounder
Cady McClain
Caitlin Clarke
Caitlin Crosby
Caitlin EJ Meyer
Caitlin Greer
Caitlin Wachs
Calista Flockhart
Callie Thorne
Cameron Diaz
Cameron Richardson
Camila Ashland
Camilla Belle
Camille Astor
Camille D'Arcy
Camille Saviola
Camille Winbush
Cammie King
Camryn Grimes
Camryn Manheim
Candace Bailey
Candace Brown
Candace Cameron Bure
Candace Hilligoss
Candace Hutson
Candi Milo
Candice Bergen
Candice Daly
Candice Rialson
Candy Barr
Candy Clark
Candy Darling
Candy Ford
Candy Moore
Cara Buono
Cara DeLizia
Cara Williams
Caren Lyn Tackett
Caren Marsh Doll
Carey Lowell
Carla Balenda
Carla Gallo
Carla Gugino
Carla Laemmle
Carlotta Freeman
Carlotta Monterey
Carlotta Monti
Carlotta Nillson
Carly Jibson
Carly Schroeder
Carmel Myers
Carmelita Geraghty
Carmelita Pope
Carmen De Rue
Carmen Electra
Carmen Llywelyn
Carmen Mathews
Carmen McRae
Carmen Miranda
Carmen Osbahr
Carmen Phillips
Carmen Serano
Carmen Zapata
Carmencita Johnson
Carol Adams
Carol Ann Susi
Carol Arthur
Carol Brewster
Carol Bruce
Carol Burnett
Carol Channing
Carol Christensen
Carol Dempster
Carol Forman
Carol Goodner
Carol Grace
Carol Haney
Carol Holloway
Carol Hughes
Carol Kane
Carol Lawrence
Carol Leifer
Carol Locatell
Carol Lynley
Carol Mayo Jenkins
Carol Ohmart
Carol Potter
Carol Speed
Carol Sutton
Carol Thurston
Carol Wayne
Carole Cole
Carole Cook
Carole Ita White
Carole King
Carole Landis
Carole Lombard
Carole Wells
Carolee Carmello
Carolina Cotton
Carolina White
Caroline Aaron
Caroline Burke
Caroline Cooke
Caroline Harris
Caroline Lagerfelt
Caroline McWilliams
Caroline Rose Isenberg
Caroline Williams
Carolyn Craig
Carolyn De Fonseca
Carolyn Farina
Carolyn Hennesy
Carolyn Jones
Carolyn Lawrence
Carolyn McCormick
Carolynne Snowden
Carrie Bowman
Carrie Clark Ward
Carrie Daumery
Carrie Fisher
Carrie Hamilton
Carrie Kei Heim
Carrie Nye
Carrie Preston
Carrie Snodgress
Carroll Baker
Carroll Borland
Carroll McComas
Caryl Lincoln
Casey LaBow
Cass Daley
Cass Elliot
Cassandra Gava
Cassandra Lee Morris
Cassandra Peterson
Cassi Davis
Cassie Yates
Gates McFadden
Gay Autterson
