Abbie Cornish
Lynette Narkle
Lynn Taylor
Maie Saqui
Maisie Maxwell
Maria Mercedes
Marie Lohr
Marie Lorraine
Marjorie Bennett
Marta Dusseldorp
Marta Kaczmarek
Melissa Jaffer
Michelle Pettigrove
Sigrid Thornton
Stella Southern
Stephanie Jacobsen
Sylvia Breamer
Toni Collette
Zoe Caldwell
Zoe Ventoura
Chrissy Amphlett
Christine Amor
Christine Harris
Christine Stephen-Daly
Claudia Black
Claudia Karvan
Clytie Jessop
Dannii Minogue
Daphne Pollard
Deborah Gray
Deborah Mailman
Deborra-Lee Furness
Debra Lawrance
Diana Glenn
Diane Cilento
Diane Craig
Dina Mann
Dinah Shearing
Essie Davis
Ethel Knight Kelly
Ethel Lang
Eugenie Duggan
Fiona Spence
Florence Maude Young
Jacinda Barrett
Jacinta John
Jacinta Stapleton
Jacki Weaver
Jackie Woodburne
Jacqueline Brennan
Jacqueline McKenzie
Jacqui Gordon
Jessica Harcourt
Jo Kennedy
Joan Bruce
Joan Sydney
Joan Winfield
Joanna Lockwood
Monica Maughan
Mouche Phillips
Rachael Blake
Rachel Griffiths
Radha Mitchell
Sally McKenzie
Lara Cox
Lucinda Cowden
Mabel Bert
Mary Ann Severne
Mary Charleston
Mary Hardy
Mary Maguire
Mary Ward
Tina Arena
Tina Bursill
Gretel Scarlett
Hannah Greenwood
Jan Adele
Jane Allsop
Jane Clifton
Jane Hall
Jane Harber
Jane Turner
Janet Andrewartha
Janet Fielding
Janet Ramsay Johnson
Kat Stewart
Kate Atkinson
Kate Hood
Kate Sheil
Katerina Kotsonis
Katie Wall
Kirsty Child
Moya O'Sullivan
Roma Egan
Susan Lyons
Susan Paterno
Susie Porter
Suzi Lovegrove
Helen Buday
Helen Reddy
Patsy King
Paula Duncan
Pepe Trevor
Peta Brady
Peta Toppano
Peta Wilson
Pia Miranda
Libby Tanner
Lillian Crombie
Marcia Ralston
Marg Downey
Margaret Johnston
Margaret Laurence
Margaret Vyner
Margo McLennan
Margot Knight
Pamela Rabe
Robyn Nevin
Yael Stone
Norma Whalley
Poppy Montgomery
Portia de Rossi
Reylene Pearce
Rhiana Griffith
Rhoda Roberts
Rosalind Speirs
Rose Byrne
Rose Quong
Sacha Horler
Trilby Clark
Tushka Bergen
Vera Doria
Vera Plevnik
Vera White
Wendy Blacklock
Wendy Playfair
Wendy Strehlow
