Ada Dyas
Fanny Carby
Felicity Jones
Feryna Wazheir
Gabrielle Drake
Kim Ismay
Lesley Brook
Letitia Cross
Leueen MacGrath
Mavis Villiers
Maxine Gordon
May Holt
May Whitty
Natalie Walter
Natascha McElhone
Catherine Gardiner
Catherine Neilson
Cathleen Nesbitt
Colette Brettel
Constance Benson
Elizabeth Bannister
Elizabeth Cooper
Elizabeth Hartley
Elizabeth Morton
Elizabeth Taylor
Elizabeth Vincent
Elizabeth Willis
Ellen Pollock
Ellen Thomas
Elliott Mason
Elsie Wagstaff
Elspeth Duxbury
Emily Bowker
Emma Hamilton
Emma Nicol
Emma Thompson
Emma Waller
Erika Hoffman
Georgina Cookson
Georgina Redhead
Georgina Ward
Geraldine Fitzgerald
Geraldine Sherman
Geraldine Somerville
Gertrude Bugler
Gillian Lind
Gillian Raine
Gladys Boot
Gladys Hamer
Glen Alyn
Glynis Johns
Karina Fernandez
Lauren O'Neil
Linda Hargreaves
Linda Marlowe
Lindy Brill
Lisa Daniels
Maria Foote
Maria Gibbs
Maria Nossiter
Marie De Becker
Marilyn Galsworthy
Marjorie Browne
Marjorie Fielding
Marjorie Taylor
Michaela Coel
Micheline Patton
Michelle Greenidge
Shaheen Khan
Sian Brooke
Sienna Miller
Sylvestra Le Touzel
Sylvia Coleridge
Sylvia Syms
Synnøve Karlsen
Yolanda Mercy
Zoe Palmer
Charlotte Attenborough
Charlotte Goodall
Charmian Gradwell
Chipo Chung
Christine Allado
Christine McKenna
Ciaran Madden
Claire Benedict
Clare Tree Major
Clarissa Selwynne
Clelia Matania
Daphne Alexander
Daphne Courtney
Dawn French
Debby Bishop
Diana Barrington
Diana Morrison
Diane Todd
Dystin Johnson
Edana Romney
Edith Wynne Matthison
Eileen O'Higgins
Elaine Tan
Esther Brand
Ethel Coleridge
Ethel Irving
Ethel Warwick
Eve Balfour
Faith Bennett
Finn Atkins
Fiona Mollison
Floella Benjamin
Flora Bramley
Flora Finch
Jacqueline Defferary
Jacqui Gordon-Lawrence
Jalabala Vaidya
Jessica Manley
Jessica Raine
Jessica Ransom
Jessie Fraser
Jessie Winter
Jill Bennett
Jo Riley
Joan Bruce
Joan Haythorne
Joan Kemp-Welch
Joan Newell
Joan Sterndale-Bennett
Joann Condon
Joanna David
Joanna Horton
Joanna Lumley
Joanna Monro
Joanna Roth
Joanne Campbell
Rachel Barrell
Lara Rossi
Laura Burt
Laura Evans
Laura White
Lucy Liemann
Mabel Beardsley
Mary Ann Duff
Mary Bradshaw
Mary Heron
Mary Hinton
Mary Mannering
Mary Morris
Mary Powell
Mary Whitfield
Mary Willis
Mary Woodvine
Honeysuckle Weeks
Jan Hunt
Jane Baxter
Jane Egleton
Jane Lapotaire
Jane Rogers
Jane Stephens
Jane Vezin
Janet Suzman
Josefina Gabrielle
Kate O'Sullivan
Kate Phillips
Katharine Barker
Katharine Levy
Katharine Schlesinger
Katherine East
Kathleen Gibson
Kathleen Kelly
Kathleen Lockhart
Kathryn Evans
Katy Stephens
Kay Dotrice
Kirsty Besterman
Liza Goddard
Lizzie Roper
Moyna Macgill
Mrs Gardner
Mrs Rock
Mrs Woodham
Naana Agyei-Ampadu
Nancy Carroll
Nancy O'Neil
Ruth Herbert
Ruth Madeley
Ruth Madoc
Ruth Posner
Ruth Spalding
Ruth Trouncer
Susan Engel
Susan Fleetwood
Susan Penhaligon
Susan Webb Cushman
Susanna Mountfort
Susannah Wise
Ursula Mohan
Harriet Pye Esten
Harriett Litchfield
Harvey Virdi
Hayley Atwell
Helen Blatch
Helen Christie
Helen Goss
Helen Haye
Helena Pickard
Hermione Corfield
Ivy St. Helier
Philippa Urquhart
Phyllis Monkman
Lilian Braithwaite
Lilian Douglas
Lilian Fontaine
Lillie Langtry
Margaret Agnes Bunn
Margaret Burton
Margaret Courtenay
Margaret Halstan
Margaret Kennedy
Margaret Martyr
Margaret Mills
Margaret Vines
Margaret Webster
Margaret Withers
Margery Binner
Paddy Russell
Pam Ferris
Paola Dionisotti
Renee Gadd
Reshma Shetty
Norah Howard
Pippa Bennett-Warner
Pippa Guard
Posy Miller
Rosalinde Fuller
Rosalyn Boulter
Rosamund Pike
Rose English
Rose Keegan
Rose Massey
Rose Reynolds
Rosemary Frankau
Rosemond Mountain
Sara Cogan
Sarah-Jane Gwillim
Sarah-Jane Redmond
Sarah Bezra Nicol
Sarah Craze
Sarah Hamilton
Vera Chok
Vera Cornish
Vera Holme
Vera Lindsay
Veronica Rose
Wendy van der Plank
