Roberto Draghetti
Roberto Farnesi
Roberto Nobile
Roberto Pedicini
Roberto Villa
Rocco D'Assunta
Rocco Sisto
Pippo Santonastaso
Pippo Starnazza
Riccardo Cucciolla
Riccardo Garrone
Riccardo Salvino
Riccardo Scamarcio
Romano Puppo
Romolo Costa
Romolo Valli
Rossano Brazzi
Sandro Dori
Sandro Ghiani
Sandro Iovino
Tuccio Musumeci
Tullio Altamura
Tullio Solenghi
Turi Ferro
Umberto Orsini
Umberto Raho
