A. W. Baskcomb
Wilfrid Caithness
Will Attenborough
Will Young
William Kendall
Windsor Davies
Greg Davies
Gregory Paul Martin
Guido Lorraine
Guy Deghy
Hajaz Akram
Hakeem Kae-Kazim
Hamilton Keene
Hamilton Revelle
Hamish McColl
Horace Hodges
James Reardon
Jamie Demetriou
Jamie Harris
Jamie Kenna
Jamie Maclachlan
Jonny Labey
Jordan Frieda
Joseph May
Kavi Shastri
Kinsey Peile
Nabil Elouahabi
Nayef Rashed
Rod Mullinar
Roger Delgado
Roger Livesey
Rupert Farley
Smurfie Syco
Thomas Baptiste
Thomas H. MacDonald
Thompson Iyamu
Harold Lang
Harry Agar Lyons
Harry Baird
Harry Enfield
Harry Gilbey
Harry Hadden-Paton
Harry Korris
Harry Peacock
Harry Van Gorkum
Harry Worth
Hector Ross
Heinz Bernard
Herbert Lom
Heydon Prowse
Ivan Brandt
Paul Antony-Barber
Paul Bhattacharjee
Paul Blake
Paul Courtenay Hyu
Paul Grist
Paul Hardtmuth
Paul Stassino
Paul Warren
Paul Whitehouse
Peppi Borza
Peter Arne
Peter Burroughs
Peter Cartwright
Peter Ferdinando
Peter Forster
Peter Godfrey
Peter Gordeno
Peter Illing
Peter O'Toole
Peter Williams
Peter Wyngarde
Peter Zander
Peter de Jersey
Phil Nice
Philip Bond
Philip Hill-Pearson
Philip Ray
Liam Gerrard
Marc Culwick
Marcus D'Amico
Marcus Gilbert
Omar Berdouni
Renu Setna
Robbie Gee
Robert Adair
Robert Adams
Robert Barton
Robert Cawdron
Robert Curtis
Robert Hands
Robert Harris
Robert Hartley
Robert Morris
Robert Portal
Robert Rendel
Robert Ya Fu Lee
Robin Hughes
Robin Kermode
Robin Nedwell
Robin Soans
Noah Taylor
Noel Davis
Norman Budd
Norman Wooland
Rex O'Malley
Rhydian Vaughan
Ricardo Montez
Richard Attenborough
Richard Beale
Richard Beaumont
Richard Cordery
Richard Cubison
Richard Dolman
Richard E. Grant
Richard Fox
Richard Goulding
Richard Graydon
Ron Moody
Ron Smerczak
Ronald Long
Ronald Shiner
Ronald Simpson
Roshan Seth
Ross Mullan
Sabu
Sacha Baron Cohen
Saeed Jaffrey
Sandor Elès
Sanjeev Bhaskar
Tutte Lemkow
Velibor Topić
Vesey O'Davoren
Vic Oliver
Vic Tablian
Wallace Geoffrey
