A.J. Saudin
Patrick Huard
Patrick J. Adams
Stan Carew
Stanley Maxted
Stu Nahan
Stuart Gillard
Stuart Hughes
Stéphane Breton
Stéphane Demers
Stéphane E. Roy
Stéphane Rousseau
Sugith Varughese
Suresh Joachim
Tahmoh Penikett
Tanner Novlan
Taylor Kitsch
Taylor Olson
Terence Kelly
Mena Massoud
Merwin Mondesir
Oliver Platt
Quinn Lord
R. D. Reid
R. H. Thomson
R. J. Adams
R. J. Fetherstonhaugh
Richard Harmon
Richard Ian Cox
Richard M. Davidson
Richard Monette
Richard Newman
Richard Roy
Richard Side
Richard Waugh
Richard Yearwood
Richard de Klerk
Rick Ducommun
Rick Fox
Rick Genest
Rick Howland
Rick Moranis
Rick Ravanello
Rick Roberts
Rino Romano
Réal Bossé
Réjean Cournoyer
Rémy Girard
Sasha Roiz
Saul Rubinek
Steve Sipek
Steve Smith
Steve Weston
Steven Bednarski
Steven Ogg
Sébastien Dhavernas
Sébastien Huberdeau
T. J. Scott
Tablo
Tony Nappo
Tony Nardi
Tony Rosato
Torrance Coombs
Tove Christensen
Victor Garber
Victor Jory
Victor Webster
Vik Sahay
Vince Corazza
Vince Murdocco
Vincent-Guillaume Otis
Vincent Bilodeau
Vincent Gale
Vladimir Kulich
Vlasta Vrána
William Quinn
William Shatner
William deVry
Yvan Ducharme
Yvan Ponton
Yves Jacques
Yves Pelletier
Yves Trudel
Yvon Barrette
Zachary Ansley
Zachary Bennett
Zack Ward
Zaib Shaikh
Zak Santiago
Zane Holtz
Cec Linder
Chad Brownlee
Chad Connell
Chad Donella
Chad Faust
Chad Willett
Charles Arling
Charles Dennis
Charles Hill Mailes
Charlie Gillespie
Dmitry Chepovetsky
Domenic Di Rosa
Dominic Zamprogna
Don Brown
Don Cherry
Don Francks
Don Lake
Don Mason
Don McKellar
Don S. Williams
Donal Logue
Donald Sutherland
Donald Woods
Donnelly Rhodes
Donnie Keshawarz
Donny Lucas
Donovan Brown
Doug Chapman
Doug Lennox
Doug McGrath
Douglas Campbell
Douglas Rain
Douglas Smith
Douglas Walton
Douglass Dumbrille
Dov Tiefenbach
Drake
Drew Nelson
Drew Seeley
Duane Howard
Duke Redbird
Duncan Fraser
Duncan Regehr
Guy Nadon
Guy Provost
Guy Richer
Guy Thauvette
Jean-François Pichette
Jean-Louis Roux
Jean-Luc Bilodeau
Jean-Michel Le Gal
Jean-Philippe Pearson
Jean-Pierre Masson
Jean Beaudry
Jean Coutu
Jean Lapointe
Jean Pierre Lefebvre
Jed Rees
Jeff Cooper
Jeff Douglas
Jeff Geddis
Jeff Hammond
Jeff Lumby
Jeff Pustil
Jeff Seymour
Jeff Teravainen
Jeff Wincott
Jefferson Brown
Jeffrey Bowyer-Chapman
Jeremy Akerman
Jeremy Ferdman
Jeremy Guilbaut
Josh Epstein
Joshua Close
Joshua Henry
Joshua Jackson
Juan Chioran
Judah Katz
Julian Bailey
Julian Richings
Julien Poulin
Matheson Lang
Matt Austin
Matt Craven
Matt Frewer
Matt Gordon
Matt Hill
Matt Johnson
Matt Murphy
Matt Wells
Matt Zimmerman
Matthew Currie Holmes
Matthew Edison
Matthew Ferguson
Matthew Godfrey
Matthew Heiti
Matthew Knight
Matthew MacFadzean
Matthew Perry
Matthew Walker
Maurice Dean Wint
Maurice Godin
Maurice LaMarche
Mig Macario
Mike Dopud
Mike Lobel
Mike McLeod
Mike Myers
Mike Ruiz
Mike Smith
Miklos Perlus
Milan Cheylov
Miles McCarthy
Miles Meadows
Ned Sparks
Neil Affleck
Neil Crone
Neil Denis
Neil Grayston
Neil McCallum
Neil Vipond
Nelson Lee
Niall Matter
Nicholas Campbell
Nicholas Lea
Nick Bateman
Nick Johne
Nick Mancuso
Nick Serino
Nico Archambault
Nico Locco
Nicolas Wright
Niels Schneider
Nigel Shawn Williams
Nigel Whitmey
Nils Oliveto
Nivek Ogre
Oscar O'Shea
Osric Chau
Reece Thompson
Reilly Dolman
Roy Dupuis
Roy Laidlaw
Rudwan Khalil Abubaker
Sam Snyders
Samian
Sammy McKim
Samson Burke
Scott Bairstow
Scott Hylands
Scott McCord
Scott McNeil
Scott Roberts
Scott Speedman
Scott Thompson
Scott Yaphe
Sean Devine
Sean McCann
Sean O'Neill
Sean Rogerson
Sebastian Pigott
Sebastian Spence
Shaun Benson
Shaun Johnston
Shaun Majumder
Shaun Sipos
Shawn Ashmore
Shawn Doyle
Shawn Hitchins
Shawn Roberts
Shawn Singleton
Shawn Thompson
Sheldon Allman
Sheldon Bergstrom
Théodore Pellerin
Tim Rozon
Travis Milne
Travis Turner
Trevor Blumas
Trevor Matthews
Trevor Smith
Trevor White
Del Lord
Dell Henderson
Demetrius Joyette
Demore Barnes
Denis Akiyama
Denis Bernard
Denis Forest
Denis Lapalme
Derek Diorio
Derek McGrath
Deryck Whibley
G. Stanley Jones
Gabe Khouth
Gabriel Arcand
Gabriel Gascon
Gabriel Hogan
Gabriel Maillé
Gad Elmaleh
Garen Boyajian
Garrick Hagon
Garry Chalk
Garry Robbins
Garvin Cross
Gary Basaraba
Gary Farmer
Gary Files
Gary Hudson
Gary Reineke
Godfrey Gao
Keon Alexander
Keram Malicki-Sánchez
Kerry James
Kerry Shale
Kett Turton
Kevin Durand
Kevin Frank
Kevin Hanchard
Kevin Loring
Kevin Mambo
Kevin McDonald
Kevin McNulty
Kevin Parent
Kevin Zegers
Kevyn Major Howard
Kiefer Sutherland
Kim Coates
King Bach
Kris Demeanor
Kris Holden-Ried
Kris Lemche
Kris Pope
Kris Wu
Kristian Ayre
Kristian Bruun
Kristopher Turner
Kwasi Songui
Kyle Harrison Breitkopf
Kyle Labine
Kyle Rideout
Kyle Schmid
Kyle Switzer
Leslie Nielsen
Levi Meaden
Lewis Furey
Lex Gigeroff
Maury Chaykin
Mavor Moore
Max Morrow
Max Topplin
Max Williams
Maxim Gaudette
Maxime Collin
Maxwell McCabe-Lokos
Mazin Elsadig
Michael Adamthwaite
Michael Bean
Michael Beattie
Michael Boisvert
Michael Bublé
Michael Cera
Michael Cram
Michael D. Cohen
Michael Daingerfield
Michael Eklund
Michael Greyeyes
Michael Hogan
Michael Ironside
Michael J. Fox
Michael Jackson
Michael Kennedy
Michael Mando
Michael McManus
Michael Ontkean
Natar Ungalaaq
Nathan Fillion
Nathan Mitchell
Nathan Stephenson
Nathaniel Arcand
Walter Borden
Walter Huston
Walter Massey
Walter Pidgeon
Cody Lightning
Cole Heppell
Colin Fox
Colin Mochrie
Colin Stinton
Colm Feore
Connor Jessup
Connor Price
Connor Widdows
Conrad Bain
Conrad Pla
Corey Haim
Corey Lof
Corey Sevier
Corey William Large
Cory Bowles
Cory Monteith
Coyote Shivers
Craig Lauzon
Craig Olejnik
Craig Russell
Craig Walker
Eli Gabay
Eli Goree
Elias Koteas
Elias Toufexis
Elliot Page
Ely Henry
Emanuel Hoss-Desmarais
Emmanuel Bilodeau
Emmanuel Kabongo
Emmanuel Schwartz
Ennis Esmer
Enrico Colantoni
Ephraim Ellis
Eric Clavering
Eric Fryer
Eric Johnson
Eric Keenleyside
Eric McCormack
Eric Peterson
Eric Schweig
Eric Tunney
Erik Knudsen
Frank C. Turner
Frank D'Angelo
Frank Powell
Georges Groulx
Georges St-Pierre
Geraint Wyn Davies
Gerald Auger
Gerard Parkes
Germain Houde
Gerry Bean
Gerry Dee
Gerry Mendicino
Gharrett Patrick Paon
Ghyslain Tremblay
Giacomo Gianniotti
Giancarlo Caltabiano
Gianpaolo Venuta
Gig Morton
Gil Bellows
Gilbert Sicotte
Gildor Roy
Giles Panton
Gilles Pelletier
Gilles Renaud
Glen Gould
Glenn Ennis
Glenn Ford
Gordon Currie
Gordon Michael Woolvett
Gordon Pinsent
Gordon Tanner
Gordon Thomson
Gordon Tootoosis
Illya Woloshyn
Justin Bieber
Justin Chatwin
Justin Kelly
Justin Rain
K. C. Collins
Lawrence Dane
Lawrence Elion
Lionel Murton
Luke Bilyk
Luke Chan
Luke Ford
Luke Humphrey
Luke Kirby
Luke Macfarlane
Lyman Ward
Lyriq Bent
Maka Kotto
Malcolm Stewart
Mario Jean
Mario Saint-Amand
Mark Acheson
Mark Camacho
Mark Day
Mark Ellis
Mark Forward
Mark Gibbon
Mark Hildreth
Mark Holden
Mark Humphrey
Mark Little
Mark McKinney
Mark Meer
Mark N. Tompkins
Mark O'Brien
Mark Rendall
Mark Taylor
Marshall Williams
Martin Cummins
Martin Dubreuil
Martin Lawrence
Martin Petit
Martin Short
Martin Villeneuve
Michael Pillarella
Michael Posner
Michael Riley
Michael Roberds
Michael Rogers
Michael Rudder
Michael Sarrazin
Michael Seater
Michael Shanks
Michael Stasko
Michael Therriault
Michael Wade
Michael Wincott
Michael Yarmush
Michael Zelniker
Michal Suchánek
Michel Barrette
Michel Côté
Michel Dumont
Michel Forget
Michel Mongeau
Michel Monty
Mickaël Gouin
Pier-Luc Funk
Pierre-Luc Brillant
Pierre-Yves Cardinal
Pierre Curzi
Pierre Falardeau
Pierre Jalbert
Pierre Kwenders
Pierre Lebeau
Seth Isaac Johnson
Seth Rogen
Seán Cullen
Seán Cummings
Shamier Anderson
Shane Meier
Shane Rimmer
Shane Warren Jones
Sidney Olcott
Simon Baker
Simu Liu
Spencer Drever
Spencer Lofranco
Stefan Brogren
Stephan James
Stephen Amell
Stephen Huszar
Stephen Joffe
Stephen Kramer Glickman
Stephen Lack
Stephen Lea Sheppard
Stephen McHattie
Stephen Ouimette
Stephen R. Hart
Stephen Shellen
Stephen Young
Sterling Campbell
Sterling Jarvis
Steve Arbuckle
Steve Bacic
Steve Braun
Steve Byers
Sylvain Marcel
Tom Braidwood
Tom Busby
Tom Butler
Tom Cavanagh
Tom Green
Tom Jackson
Tom McCamus
Tom Nolan
Tom Rack
Tommy Chong
Tony Daniels
Yani Gellman
Yank Azman
Yannick Bisson
Charlie Rhindress
Charly Chiarelli
Chas Lawther
Chase Tang
Chevez Ezaneh
Chief Dan George
Choi Woo-shik
Chris Diamantopoulos
Chris Doohan
Chris Earle
Chris Gauthier
Chris Jericho
Chris Leavins
Chris Makepeace
Chris McNally
Chris Owens
Chris Potter
Chris William Martin
Christian Bégin
Christian Cage
Christian Campbell
Christian Laurin
Christian Murray
Christian Potenza
Christian Tessier
Christian Vincent
Christian de la Cortina
Christopher Britton
Christopher Hart
Christopher Heyerdahl
Christopher Jacot
Christopher Malcolm
Christopher Plummer
Christopher Ralph
Christopher Shyer
Chuck Campbell
Chuck Shamata
Clarence Geldart
Clark Johnson
Claude Gagnon
Claude Gauthier
Claude Genest
Claude Jutra
Claude Legault
Claude Meunier
Claude Préfontaine
Clay Borris
Clayton Chitty
Clifford Bruce
Clé Bennett
D'Arcy Browning
Dakota Daulby
Dakota Goyo
Dakota House
Dale Wilson
Dameon Clarke
Damien Atkins
Damon D'Oliveira
Dan Aykroyd
Dan Beirne
Dan Chameroy
Dan Duran
Dan Jeannotte
Dan Payne
Daniel Brochu
Daniel Cudmore
Daniel DeSanto
Daniel Doheny
Daniel Gillies
Daniel Hayes
Daniel Kash
Daniel MacIvor
Daniel Magder
Daniel Maslany
Daniel Pilon
Daniel Samonas
Danny Gilmore
Danny Smith
Danny Wells
Darcy Fehr
Darcy Michael
Darrell Dennis
Darren Mann
Daryl Shuttleworth
Dashan
Dave Foley
Dave Merheje
Dave Somerville
Dave Thomas
David Alpay
David Alvarez
David Berni
David Berry
David Boutin
David Cronenberg
David Dineen-Porter
David Eisner
David Ferry
David Fox
David Giammarco
David Giguère
David Hayter
David Hewlett
David Huynh
David J. Francis
David James Elliott
David Julian Hirsh
David Kaye
David La Haye
David Lewis
David Lipper
David Lovgren
David Manners
David McIlwraith
David Nykl
David Paetkau
David Palffy
David Paul Grove
David Phillips
David Reale
David Richmond-Peck
David Steinberg
David Stuart
David Sutcliffe
David William
Dayo Ade
Dean Butler
Dean Haglund
Dean Marshall
Dean McDermott
Dean Redman
Devon Bostick
Devon Sawa
Dhanaé Audet-Beaulieu
Diego Fuentes
Diego Klattenhoff
Diego Matamoros
Dillon Casey
Dustin Milligan
Dwain Murphy
Dwayne Hill
Dylan Bruce
Dylan Kingwell
Dylan Neal
Dylan Ramsey
Dylan Smith
Dylan Taylor
Earl Pastko
Earle Rodney
Ed McNamara
Ed Sahely
Edge
Edward Earle
Ernie Grunwald
Eugene Clark
Eugene Levy
Eugene Lipinski
Evan Adams
Evan Bird
Evan Williams
Fab Filippo
Fajer Al-Kaisi
Finn Wolfhard
Fletcher Markle
Hugh Dillon
Hugh Thompson
Hugh Webster
Hugo St-Cyr
Hume Cronyn
Huntley Gordon
Husein Madhavji
Jack Blum
Jack Carson
Jack Creley
Jack J. Yang
Jack Kruschen
Jack Langedijk
Jack Pickford
Jackson Davies
Jacob Tierney
Jacob Tremblay
Jacques Godin
Jacques Languirand
Jade Hassouné
Jai West
Jaie Laplante
Jaimz Woolvett
Jake Beale
Jake Epstein
Jake LeDoux
Jake Manley
James A. Woods
James Allodi
James Bamford
James Blendick
James Cade
James Carroll
James Doohan
James Durkin
James Gallanders
James Hyndman
James Lafazanos
Jared Keeso
Jared Van Snellenberg
Jason Blicker
Jason Cadieux
Jason Gray-Stanford
Jason Jones
Jason Priestley
Jason Reitman
Jason Spevack
Jasper Cho
Jay Baruchel
Jay Brazeau
Jay Silverheels
Jayden Greig
Jean-Carl Boucher
Jeremy Kushnier
Jeremy Ratchford
Jerry Schaefer
Jerry Snell
Jesse Aaron Dwyre
Jesse Camacho
Jesse Carere
Jesse Collins
Jesse Hutch
Jesse Moss
Jesse Noah Gruman
Jesse Rath
Jim Byrnes
Jim Carrey
Jim Codrington
Jim Henshaw
Jimmy Herman
Joby Baker
Jock Brandis
Joe Cobden
Joe Dinicol
Joe Pingue
Joe Sawyer
Joel Bissonnette
Joel Gordon
Keanu Reeves
Keir Gilchrist
Keith Knight
Kelvin Kwan
Ken Finkleman
Ken Kirby
Ken Kirzinger
Ken McDougall
Ken Pogue
Kenne Duncan
Kenneth Welsh
Kenny Vadas
Morgan Kelly
Morris Birdyellowhead
Rady Panov
Rafael Petardi
Raoul Bhaneja
Rapley Holmes
Raugi Yu
Ray Jewers
Raymond Bouchard
Raymond Burr
Raymond Lovell
Raymond Massey
Salvatore Antonio
Sam De Grasse
Sam Easton
Sam Grana
Ty Olsson
Ty Wood
Tygh Runyan
Tyler Hynes
Tyler Johnston
Tyler Labine
Tyler Mane
Tyler Shaw
Tyron Leitso
Tyrone Benskin
Tyrone Savage
Tyrone Tootoosis
Tyson Houseman
Currie Graham
Curtis Harrison
Kader Khan
Kaj-Erik Eriksen
Larry D. Mann
Larry Solway
Larry Thor
Lovell Adams-Gray
Luc Picard
Luc Roy
Lucas Bryant
Luck Mervil
Ludi Lin
MacDonald Parke
Manny Jacinto
Manoj Sood
Manuel Aránguiz
Manuel Tadros
Marvin Goldhar
Pablo Schreiber
Serge Dupire
Serge Houde
Serge Postigo
Serge Thériault
Sergio Di Zio
Ski Hi Lee
Slim Twig
Tobias Mehler
Toby Proctor
Tod Fennell
Todd Caldecott
Will Arnett
Will Conlon
Will Sasso
Willard Mack
Willard Sage
William B. Davis
William Bertram
William Healy
William Hope
William Hutt
Greg Anderson
Greg Bryk
Greg Kean
Gregory Smith
Greyston Holt
Guillaume Cyr
Guillaume Lemay-Thivierge
Guy Big
Hagan Beggs
Hamza Haq
Howard Ryshpan
Hrant Alianak
Hrothgar Mathews
Hubert Lenoir
James McGowan
James Tupper
Jamie Elman
Jamie Johnston
Jan Rubeš
Jonathan Frid
Jonathan Hale
Jonathan Malen
Jonathan Scarfe
Jonathan Torrens
Jonathan Watton
Jonathan Welsh
Jonathan Whitesell
Jonathan Wilson
Jonny Harris
Jordan Connor
Jordan Francis
Jordan Gavaris
Jordan Prentice
Joris Jarsky
Joseph Jomo Pierre
Joseph Kilgour
Joseph May
Karl Pruner
Kawa Ada
Lloyd Bochner
Mpho Koaho
Neal Bledsoe
Rod Cameron
Roddy Piper
Rodney Eastman
Roger Cross
Roger Frappier
Roger Lebel
Roland Hewgill
Romaine Waite
Rup Magon
Rupert Simonian
Rupinder Nagra
Russ Conway
Russell Peters
Rusty Ryan
Ryan Belleville
Ryan Cooley
Ryan Doucette
Ryan Gosling
Ryan Kennedy
Ryan McDonald
Ryan Rajendra Black
Ryan Reynolds
Ryan Robbins
Ryan Scott Greene
Ryan Ward
Rykko Bellemare
Ted Atherton
Ted Cole
Ted Follows
Ted Roop
Ted Whittall
Thomas Elms
Thomas Hauff
Thomas Middleditch
Thomas Peacocke
Émile Genest
Émile Schneider
Hardee T. Lineham
Harland Williams
Harley Morenstein
Harold Russell
Harris Allan
Harrison Houde
Harry Edwards
Harry Ham
Harry Hayden
Harry Standjofski
Hart Bochner
Harvey Atkin
Hawksley Workman
Hayden Christensen
Hayden Szeto
Heath Lamberts
Herbert Fortier
Ivor Francis
J. Adam Brown
J. C. MacKenzie
J. H. Gilmour
JR Bourne
Patrick Kwok-Choon
Patrick McKenna
Patrick Roach
Patrick Sabongui
Paul-André Brasseur
Paul-Dylan Ivalu
Paul Ahmarani
Paul Anka
Paul Bradley
Paul Braunstein
Paul Buissonneau
Paul Campbell
Paul Carpenter
Paul Doucet
Paul Dupuis
Paul Greene
Paul Gross
Paul Haddad
Paul Hopkins
Paul Hébert
Paul Johansson
Paul Koslo
Paul Mann
Paul Massie
Paul Maxwell
Paul Miller
Paul Perri
Paul Schoeffler
Paul Sun-Hyung Lee
Paulo Costanzo
Pepper Martin
Percy Hynes White
Percy Rodriguez
Perry Banks
Peter Aykroyd
Peter Blais
Peter Chao
Peter Cullen
Peter Donaldson
Peter Donat
Peter Helm
Peter Kastner
Peter Kelamis
Peter Keleghan
Peter MacNeill
Peter Miller
Peter Mooney
Peter New
Peter Oldring
Peter Outerbridge
Peter Shinkoda
Peter Spence
Peter Stebbings
Peter Williams
Peter Wingfield
Phil Burke
Philip Akin
Philip DeWilde
Philip Gilbert
Philip Nozuka
Phillip Lewitski
Rainbow Sun Francks
Rajiv Surendra
Ralph Endersby
Wayne Robson
Liam James
Liam Titcomb
Marc-André Grondin
Marc Akerstream
Marc Bendavid
Marc Donato
Marc Favreau
Marc Fiorini
Marc Labrèche
Marc Marut
Marc Messier
Marc Minardi
Marc Worden
Marcel Sabourin
Marcel Simoneau
Marco Grazzini
Omar Sharif Jr.
Omari Newton
Page Fletcher
Panou
Pardis Parker
Rizwan Manji
Roark Critchlow
Rob Archer
Rob Stefaniuk
Rob Stewart
Rob deLeeuw
Robb Wells
Robbie Amell
Robert A. Silverman
Robert Beatty
Robert Bockstael
Robert Christie
Robert Clark
Robert Desroches
Robert F. Hill
Robert Ito
Robert Jezek
Robert John Pratt
Robert Joy
Robert Lalonde
Robert Lepage
Robert Maillet
Robert Marien
Robert Moloney
Robert Naylor
Robert Nolan
Robert Smith
Robert Tinkler
Robert Wisden
Robin Dunne
Robin Gammell
Robin Spry
Robin Ward
Rockliffe Fellowes
Xavier Dolan
Xavier Petermann
Noah Cappe
Noah Danby
Noah Mills
Noah Ryan Scott
Noam Jenkins
Noam Zylberman
Nobu and Mio Adilman
Noel Fisher
Nolan Gerard Funk
Norm Berketa
Norm Macdonald
Norman Jewison
Norman Yeung
Normand Brathwaite
Normand D'Amour
Rhys Ward
Rhys Williams
Ricardo Hoyos
Rich Little
Richard Avonde
Richard Carlyle
Richard Carlyle
Richard Chevolleau
Richard Darbois
Richard Donat
Richard Easton
Richard Eden
Richard Gabourie
Romano Orzari
Ron James
Ron Lea
Ron Pardo
Ron Pederson
Ron Sparks
Ron White
Ronan O'Casey
Ross Hull
Ross Petty
Rossif Sutherland
Sandy Robson
Terry Chen
Terry David Mulligan
Terry Moore
Tetsu Nakamura
The Unknown Comic
Von Flores
Walker Boone
Wallace Douglas
Wallace MacDonald
Wendell Smith
