Akaji Maro
Ken Utsui
Kengo Ohkuchi
Kenichi Hagiwara
Kenji Anan
Kenji Kazama
Kenji Matsuda
Kenji Ohba
Kensaku Kishida
Min Tanaka
Minoru Murata
Morio Agata
Morio Kazama
Tōru Baba
Tōru Nakane
Cunning Takeyama
Mansai Nomura
Masaaki Sakai
Masahiko Kondō
Masahiro Inoue
Masahiro Kuranuki
Masahiro Motoki
Masahiro Nakai
Masaki Kaji
Masaki Kyomoto
Masami Horiuchi
Masao Komatsu
Masao Kusakari
Masaru Hamaguchi
Masashi Fujimoto
Masashi Mikami
Masato
Masato Furuoya
Masato Hagiwara
Masato Sakai
Masato Tsujioka
Masato Uchiyama
Masato Wada
Masatoshi Nagase
Masatoshi Nakamura
Masaya Kikawada
Masaya Nakahara
Masaya Nakamura
Masayuki Deai
Guts Ishimatsu
Houka Kinoshita
James Pax
Katsuhiko Yokomitsu
Katsunori Takahashi
Katsuo Nakamura
Katsuya Kobayashi
Kawakami Otojirō
Kiyoshi Nishikawa
Kiyoshiro Imawano
Kiyotaka Mitsugi
Muga Takewaki
Muga Tsukaji
Nakamura Baijaku II
Nakamura Kichiemon I
Naoki Kawano
Naoki Kobayashi
Naoki Nokubo
Ryo Hayami
Ryo Segawa
Ryota Murai
Ryota Ozawa
Ryouhei Abe
Suzuki Matsuo
Haruo Oka
Hassei Takano
Hayato Tani
Hideaki Anno
Hideaki Nitani
Hideaki Takizawa
Hideaki Tokunaga
Hideji Ōtaki
Hideki Togi
Hidenori Tokuyama
Hideo Murota
Hidetaka Yoshioka
Hideyo Amamoto
Hideyuki Nakayama
Hiroaki Murakami
Hirobumi Watanabe
Hiroki Miura
Hiroki Suzuki
Hiroki Suzuki
Hiroki Uchi
Hiromi Go
Hiromitsu Kitayama
Hiroomi Tosaka
Hiroshi Inuzuka
Hiroshi Katsuno
Hiroshi Mikami
Hiroshi Miyauchi
Hiroshi Sekiguchi
Hiroya Matsumoto
Hiroyuki Ikeuchi
Hiroyuki Miyasako
Hisanori Ōiwa
Izam
Izumi Motoya
Raishin Kodama
Raita Ryū
Wataru Mori
Papaya Suzuki
Ren Osugi
Renji Ishibashi
Rentarō Mikuni
Robert Baldwin
Yamato Kinjo
Noboru Kaneko
Nobu Matsuhisa
Nobuo Kyo
Nobuyuki Suzuki
Norito Yashima
Rome Kanda
Saburo Ishikura
Sandayū Dokumamushi
Sanma Akashiya
Sanshō Shinsui
Teru
Teruhiko Saigō
Teruyuki Kagawa
Tet Wada
Tetsuji Sakakibara
Tetsuo Kurata
Tetsuo Narikawa
Tetsushi Tanaka
Tetsuya Iwanaga
Tetsuya Makita
Tetta Sugimoto
Tsubasa Imai
Tsunenori Aoki
Tsurutaro Kataoka
Tsuyoshi Domoto
Tsuyoshi Nagabuchi
Tsuyoshi Ujiki
Umewaka Minoru I
