40
A.J. Saudin
Connor Jessup
Connor Price
Connor Widdows
Conrad Bain
Conrad Coates
Conrad Pla
Corey Haim
Corey Sevier
Corey William Large
Cory Bowles
Cory Monteith
Craig Lauzon
Craig Olejnik
Craig Russell
Craig Veroni
Eli Gabay
Eli Goree
Elias Koteas
Elias Toufexis
Elliot Page
Ely Henry
Emanuel Hoss-Desmarais
Emmanuel Bilodeau
Emmanuel Kabongo
Emmanuel Schwartz
Ennis Esmer
Enrico Colantoni
Ephraim Ellis
Eric Cabral
Eric Clavering
Eric Johnson
Eric McCormack
Eric Peterson
Eric Schweig
Eric Tunney
Erik Knudsen
Frank C. Turner
Frank Shuster
Georges Groulx
Geraint Wyn Davies
Gerald Auger
Gerard Parkes
Germain Houde
Gerry Bean
Gerry Dee
Gerry Mendicino
Gharrett Patrick Paon
Ghyslain Tremblay
Giacomo Gianniotti
Giancarlo Caltabiano
Gianpaolo Venuta
Gig Morton
Gil Bellows
Gilbert Sicotte
Gildor Roy
Giles Panton
Gilles Pelletier
Gilles Renaud
Glen Gould
Gordon Cormier
Gordon Currie
Gordon Michael Woolvett
Gordon Pinsent
Gordon Thomson
Gordon Tootoosis
Illya Woloshyn
Justin Bieber
Justin Bradley
Justin Chatwin
Justin Craig
Justin Kelly
Justin Peroff
Justin Rain
K. C. Collins
K. Trevor Wilson
Lawrence Dane
Lionel Murton
Luke Bilyk
Luke Ford
Luke Humphrey
Luke Kirby
Luke Macfarlane
Lyman Ward
Lyriq Bent
Maka Kotto
Malcolm Stewart
Mario Jean
Mario Saint-Amand
Mark Acheson
Mark Camacho
Mark Day
Mark Ellis
Mark Farrell
Mark Forward
Mark Ghanimé
Mark Gibbon
Mark Hildreth
Mark Holden
Mark Humphrey
Mark Kenneth Woods
Mark Little
Mark Lutz
Mark McKinney
Mark Meer
Mark O'Brien
Mark Rendall
Mark Taylor
Mark Wilson
Marshall Williams
Martin Cummins
Martin Dubreuil
Martin Kevan
Martin Lawrence
Martin Short
Martin Watier
Michael Riley
Michael Roberds
Michael Rogers
Michael Rowe
Michael Rudder
Michael Sarrazin
Michael Seater
Michael Shanks
Michael Soltis
Michael Stasko
Michael Therriault
Michael Wade
Michael Wincott
Michael Yarmush
Michael Zelniker
Michal Suchánek
Michel Barrette
Michel Côté
Michel Dumont
Michel Forget
Michel Mongeau
Michel Monty
Mickaël Gouin
Pier-Luc Funk
Pierre-Luc Brillant
Pierre-Yves Cardinal
Pierre Brassard
Pierre Curzi
Pierre Falardeau
Pierre Jalbert
Pierre Lebeau
Seth Isaac Johnson
Seth Rogen
Seán Cullen
Shamier Anderson
Shane Harte
Shane Kippel
Shane Meier
Shane Rimmer
Shane Warren Jones
Siluck Saysanasy
Simon Baker
Simu Liu
Sinn Bodhi
Spencer Drever
Stefan Brogren
Stephan James
Stephen Amell
Stephen Huszar
Stephen Joffe
Stephen Kramer Glickman
Stephen Lea Sheppard
Stephen Lobo
Stephen Massicotte
Stephen McHattie
Stephen Ouimette
Stephen R. Hart
Stephen Young
Sterling Jarvis
Steve Arbuckle
Steve Bacic
Steve Braun
Steve Byers
Steve Ihnat
Steve Lund
Sylvain Marcel
Tom Braidwood
Tom Butler
Tom Cavanagh
Tom Green
Tom Jackson
Tom Kneebone
Tom McBeath
Tom McCamus
Tom Nolan
Tom Rack
Tom Stevens
Tommy Campbell
Tommy Chong
Tommy Sexton
Tony Daniels
Yani Gellman
Yanic Truesdale
Yank Azman
Yannick Bisson
Yee Jee Tso
Yisroel Bernath
Charlie Rhindress
Chas Lawther
Chase Tang
Chaz Thorne
Chevez Ezaneh
Chief Dan George
Choi Woo-shik
Chris Diamantopoulos
Chris Doohan
Chris Earle
Chris Gauthier
Chris Jericho
Chris Kramer
Chris Leavins
Chris Makepeace
Chris McNally
Chris Owens
Chris Potter
Chris William Martin
Christian Bégin
Christian Cage
Christian Campbell
Christian Laurin
Christian Murray
Christian Potenza
Christian Tessier
Christian Vincent
Christopher Britton
Christopher Heyerdahl
Christopher Jacot
Christopher Malcolm
Christopher Plummer
Christopher Ralph
Christopher Shyer
Chuck Campbell
Chuck Shamata
Clark Johnson
Claude Genest
Claude Jutra
Claude Legault
Claude Préfontaine
Clayton Chitty
Clyde Alves
Clé Bennett
Dakota Daulby
Dakota Goyo
Dakota House
Dale Wilson
Dallas Jokic
Dalmar Abuzeid
Dameon Clarke
Damien Atkins
Damon D'Oliveira
Dan Aykroyd
Dan Beirne
Dan Chameroy
Dan Duran
Dan Jeannotte
Dan Lett
Dan Payne
Dan Petronijevic
Dan Shea
Daniel Brochu
Daniel Clark
Daniel Cudmore
Daniel DeSanto
Daniel Di Tomasso
Daniel Doheny
Daniel Gillies
Daniel Kash
Daniel Kelly
Daniel MacIvor
Daniel Magder
Daniel Maslany
Daniel Pilon
Daniel Samonas
Danny Smith
Danny Wells
Darcy Michael
Darrell Dennis
Darren Mann
Darrin Brown
Darrin Rose
Daryl Shuttleworth
Dashan
