"Weird Al" Yankovic
Grant Shaud
Granville Van Dusen
Gray Haddock
Héctor Elizondo
Iain Armitage
Ian Anthony Dale
Ian Jones-Quartey
Ian Sinclair
Ian Ziering
Ice-T
Lamorne Morris
Lance Barber
Lance Bass
Lance Henriksen
Lance LeGault
Lance Norris
Lane Toran
Logan Arens
Logan Henderson
Logan Miller
Lombardo Boyar
Loren Bouchard
Loren Lester
Lorenzo Music
Lorne Lanning
Lou Albano
Lou Ferrigno
Lou Fleischer
Lou Hirsch
Lou Merrill
Lou Perryman
Lou Rawls
Lou Richards
Lou Romano
Lou Scheimer
Louie Anderson
Louis C.K.
Louis Chirillo
Louis Gossett Jr.
Louis Nye
Mahershala Ali
Mishu Hilmy
Miss Coco Peru
Mitch Pileggi
Mitchel Musso
Mitchell Whitfield
Murphy Dunne
Parker Stevenson
Parley Baer
Parry Shen
Parvesh Cheena
Pasha D. Lychnikoff
Pat Boone
Pat Buttram
Pat Cashman
Pat Corley
Pat Fraley
Pat Harrington Jr.
Pat McCormick
Pat Morita
Pat Skipper
Pat St. John
Patric Zimmerman
Patrice O'Neal
Patricio Castillo
Patrick Breen
Patrick Dempsey
Patrick Duffy
Patrick Fugit
Patrick Harlan
Purv Pullen
Stan Dale
Stan Freberg
Stanley Ralph Ross
Stanley Tucci
Stu Rosen
Stuart Allan
Stuart Buchanan
Stuart Milligan
Stuart Pankin
Stuart Zagnit
SungWon Cho
Sunshine Logroño
Tahj Mowry
Taliesin Jaffe
Taran Killam
Tatanka Means
Tate Donovan
Taurean Blacque
Tay Zonday
Taylor Gray
Taylor Lautner
Taylor Mali
Tennessee Ernie Ford
Terrell Ransom Jr.
Terrence C. Carson
Terrence Howard
Melvin Franklin
Moisés Arias
Okieriete Onaodowan
Olan Soule
Oliver Hudson
Oliver Vaquer
Oliver Wyman
Pedro Pascal
Pendleton Ward
Penn Jillette
Pons Maar
Questlove
Quinton Flynn
R. Bruce Elliott
R. J. Williams
R. Lee Ermey
R. Martin Klein
Richard Henzel
Richard Hunt
Richard Jenkins
Richard Kiel
Richard Kiley
Richard Kind
Richard Libertini
Richard McGonagle
Richard Moll
Richard Newman
Richard Paul
Richard Romanus
Richard Sanders
Richard Steven Horvitz
Richard Tatum
Richard Waring
Richard White
Richard Zobel
Rick Aviles
Rick D. Wasserman
Rick Dees
Rick Gomez
Rick Jason
Rick Jay Glen
Rick May
Rick Pasqualone
Rick Segall
Rick Zieff
Rickey D'Shon Collins
Rico Rodriguez
Rider Strong
Ridge Bond
Rif Hutton
S. Scott Bullock
Savage Steve Holland
Shug Fisher
Sonny Marinelli
Sonny Melendrez
Sonny Strait
Sorrell Booke
Soulja Boy
Steve Oedekerk
Steve Purcell
Steve Rassin
Steve Ritchie
Steve Schatzberg
Steve Schirripa
Steve Staley
Steve Susskind
Steve Tompkins
Steve Van Wormer
Steve Viksten
Steve Vining
Steve Vinovich
Steve Zahn
Steve Zaragoza
Steve Zissis
Steven Barr
Steven Bauer
Steven Crowder
Steven Curtis Chapman
Steven Rattazzi
Steven Weber
Steven Wright
Steven Yeun
Steven Zirnkilton
Stone Cold Steve Austin
T.J. Miller
T.J. Storm
T. K. Carter
T. Ryder Smith
Tony Goldwyn
Tony Hale
Tony Hawk
Tony Leondis
Tony Oliver
Tony Pope
Tony Revolori
Tony Salerno
Tony Shalhoub
Tony Todd
Tony Wike
Topher Grace
Townsend Coleman
Trace Adkins
Victor Aaron
Victor Bozeman
Victor Brandt
Victor Moore
Victor Raider-Wexler
Victor Williams
Victor Yerrid
Viggo Mortensen
Vin Diesel
Vince Vaughn
Vincent D'Onofrio
Vincent Martella
Vincent Marzello
Vincent Price
Vincent Rodriguez III
Vincent Schiavelli
Vincent Waller
Ving Rhames
William Levy
William Pennell
William Sadler
William Salyers
William Schallert
William Winckler
Willie Aames
Wilmer Calderon
Wilmer Valderrama
Yuji Okumoto
Yul Vazquez
Yuri Lowenthal
Zac Efron
Zach Aguilar
Zach Bolton
Zach Braff
Zach Callison
Zach Galifianakis
Zach Hadel
Zach McGowan
Zach Tyler Eisen
Zachary Gordon
Zachary Levi
Zack Keller
Zack Shada
Zeno Robinson
Zero Mostel
Zevi Wolmark
Cayden Boyd
Cedric Yarbrough
Cedric the Entertainer
CeeLo Green
Chad Doreck
Chad Everett
Chad L. Coleman
Chadwick Boseman
Chance Kelly
Chance the Rapper
Channing Tatum
Charles Baker
Charles C. Campbell
Charles Chun
Charles Correll
Charles Durning
Charles Fleischer
Charles Halford
Charles Howerton
Charles Judels
Charles Kimbrough
Charles Martinet
Charles Napier
Charles Nelson Reilly
Charles Parnell
Charles Rocket
Charles S. Dutton
Charlie Adler
Charlie Brill
Charlie Day
Charlie Finn
Charlie Murphy
Djimon Hounsou
Doc Hammer
Dom DeLuise
Dom Irrera
Dominic Armato
Dominic Janes
Dominic Scott Kay
Don Adams
Don Barclay
Don Cheadle
Don Diamond
Don Gavin
Don Hall
Don Harvey
Don Kennedy
Don Knotts
Don LaFontaine
Don Leslie
Don Messick
Don Morrow
Don Most
Don Pardo
Don Pietromonaco
Don Rickles
Don Rush
Don S. Davis
Don Stanley
Donal Gibson
Donald Faison
Donald Glover
Donald Rickles
Donavan Freberg
Donnell Rawlings
Donnie Dunagan
Donny Osmond
Donovan Patton
Doodles Weaver
Dorian Harewood
Dorian Missick
Dorsey Wright
Doug Cockle
Doug E. Doug
Doug Erholtz
Doug Jones
Doug Lussenhop
Doug Preis
Doug TenNapel
Doug Young
Douglas Rye
Drake Bell
Drew Massey
Duncan Brannan
Duncan Trussell
Duncan Watson
Guy Perry
H. Jon Benjamin
H. Richard Greene
Jeff "Swampy" Marsh
Jeff Bennett
Jeff Bergman
Jeff Bridges
Jeff Conaway
Jeff Coopwood
Jeff Daniels
Jeff David
Jeff DeGrandis
Jeff Doucette
Jeff Dunham
Jeff Fischer
Jeff Foxworthy
Jeff Garlin
Jeff Gill
Jeff Goldblum
Jeff MacKay
Jeff Manning
Jeff Nimoy
Jeff Pidgeon
Jeff Ross
Jeff Steitzer
Jeff Winkless
Jeffrey Combs
Jeffrey Donovan
Jeffrey Garcia
Jeffrey Jones
Jeffrey Nordling
Jeffrey Pierce
Jeffrey Stone
Jeffrey Tambor
Jeffrey Vincent Parise
Jeffrey Wright
Jensen Ackles
Jere Burns
Jeremy Bobb
Jeremy Foley
Josey Montana McCoy
Josh Brener
Josh Brolin
Josh Carpenter
Josh Cooley
Josh Cowdery
Josh Duhamel
Josh Flitter
Josh Gad
Josh Hamilton
Josh Hutcherson
Josh Keaton
Josh LaBove
Josh Lucas
Josh Pais
Josh Peck
Josh Petersdorf
Josh Phillips
Josh Radnor
Josh Robert Thompson
Josh Segarra
Josh Stewart
Josh Zuckerman
Joshua Gomez
Joshua Jackson
Joshua LeBar
Joshua Rush
Joshua Seth
Joshua Swanson
Judah Friedlander
Judd Hirsch
Judd Nelson
Judge Reinhold
Julian Grey
Julian McMahon
Julián Rebolledo
Junius Matthews
Master P
Mat Lucas
Mathew Valencia
Matt Adler
Matt Bomer
Matt Braly
Matt Bush
Matt Caplan
Matt Crowley
Matt Damon
Matt Danner
Matt Frewer
Matt Greenfield
Matt Harrigan
Matt Hobby
Matt Hoverman
Matt Hullum
Matt Hunter
Matt Jones
Matt K. Miller
Matt Lanter
Matt Maiellaro
Matt McKenzie
Matt Mitler
Matt Shipman
Matt Sloan
Matt Stone
Matt Thompson
Matt Walsh
Matt Willig
Matt Winston
Matthew Broderick
Matthew Gray Gubler
Matthew J. Munn
Matthew Labyorteaux
Matthew Lawrence
Matthew Lillard
Matthew McConaughey
Matthew Mercer
Matthew Modine
Matthew Morrison
Matthew Moy
Matthew Perry
Matthew Sussman
Matthew Wood
Matthew Yang King
Maurice Gosfield
Miguel Ferrer
Miguel Sandoval
Mike Disa
Mike Douglas
Mike Epps
Mike Erwin
Mike Farrell
Mike Henry
Mike Judge
Mike Kleinhenz
Mike Lookinland
Mike MacRae
Mike McFarland
Mike McShane
Mike Nawrocki
Mike O'Malley
Mike Patton
Mike Pniewski
Mike Polk
Mike Pollock
Mike Reynolds
Mike Rianda
Mike Road
Mike Rowe
Mike Schatz
Mike Tyson
Mike Worman
Mikey Day
Mikey Kelley
Ned Beatty
Ned Hastings
Ned Luke
Nehemiah Persoff
Neil Flynn
Neil Garguilo
Neil Kaplan
Neil Patrick Harris
Neil Ross
Nelson Eddy
Newton Pittman
Nicholas Braun
Nicholas Brendon
Nicholas Guest
Nicholas Turturro
Nick Afanasiev
Nick Bakay
Nick Cannon
Nick Chinlund
Nick Jameson
Nick Jonas
Nick Kroll
Nick Nolte
Nick Offerman
Nick Palatas
Nick Rutherford
Nick Stewart
Nick Thurston
Nicky Jones
Nicky Katt
Nicolas Cage
Nikita Hopkins
Oscar Isaac
Otis Harlan
Red Coffey
Redman
Reggie Lee
Regis Cordic
Regis Philbin
Reid Scott
Roy Atwell
Roy Conrad
Roy Glenn
Roy Halee
Ruben Santiago-Hudson
Sam Lavagnino
Sam Lerner
Sam McMurray
Sam Richardson
Sam Riegel
Sam Rockwell
Sam Seder
Sam Waterston
Sam Witwer
Samm Levine
Samuel E. Wright
Samuel L. Jackson
Scatman Crothers
Schoolly D
Scott Adsit
Scott Bakula
Scott Beach
Scott Brick
Scott Ellsworth
Scott Freeman
Scott Grimes
Scott Innes
Scott Lawrence
Scott McAfee
Scott Menville
Scott Mosier
Scott Page-Pagter
Scott Paulsen
Scott Porter
Scott Rayow
Scott Sowers
Scott Valentine
Scott Vincent
Scott Weinger
Scott Whyte
Scott Wolf
Scotty Mattraw
Sean Astin
Sean Chiplock
Sean Giambrone
Sean Hayes
Sean Maher
Sean Marquette
Sean Michael Teague
Sean Schemmel
Sebastian Arcelus
Sebastian Maniscalco
Shannon McCormick
Shaun Fleming
Shavar Ross
Shawn Fonteno
Shawn Harrison
Shawn Michael Howard
Sheldon Leonard
Shepard Menken
Sherman Howard
Shia LaBeouf
Shiloh Strong
The Brothers Chaps
Thurl Ravenscroft
Thurop Van Orman
Tim Allen
Tim Blake Nelson
Tim Blaney
Tim Conway
Tim Dadabo
Tim Daly
Tim Dang
Tim Griffin
Tim Gunn
Tim Hodge
Tim Hughes
Tim Kazurinsky
Tim Matheson
Tim Meadows
Tim Rooney
Tim Russ
Tim Russell
Tim Shaw
Tracey Walter
Tracy Letts
Tracy Morgan
Travis Oates
Travis Vengroff
Travis Willingham
Treat Williams
Trent Lehman
Trev Broudy
Trevor Devall
Trey Parker
Trey Wilson
Matt Kaminsky
Dee Bradley Baker
Demetri Goritsas
Demetri Martin
Denis Leary
Dennis Burkley
Dennis Daniel
Dennis Franz
Dennis Haysbert
Dennis Hopper
Dennis Marks
Dennis Quaid
Denny Delk
Denzel Whitaker
Deon Cole
Derek Phillips
Derek Stephen Prince
Derick Snow
Felipe Smith
Felton Perry
Feodor Chin
Fyvush Finkel
Gabriel Luna
Garrett Morris
Garrett Wang
Garry Marshall
Garry Shandling
Gary Anthony Sturgis
Gary Anthony Williams
Gary Busey
Gary Cole
Gary Coleman
Gary Dourdan
Gary Dubin
Gary Hudson
Gary Imhoff
Gary LeRoi Gray
Gary Owens
Gary Sinise
Godfrey
Kent Rogers
Kent Williams
Keone Young
Kermit Murdock
Kerrigan Mahan
Kevin Bacon
Kevin Conroy
Kevin Conway
Kevin Corcoran
Kevin Corn
Kevin Costner
Kevin Delaney
Kevin Gage
Kevin Grevioux
Kevin Hart
Kevin James
Kevin Jonas
Kevin Kline
Kevin M. Connolly
Kevin McHale
Kevin Meaney
Kevin Michael Richardson
Kevin Miller
Kevin Nealon
Kevin Schon
Kevin Seymour
Kevin Shinick
Kevin Sorbo
Kevin Spacey
Kevin Sussman
Kevin Thoms
Keye Luke
Keythe Farley
Khamani Griffin
Khary Payton
Ki Hong Lee
Kid Beyond
Kid Cudi
Kiff VandenHeuvel
Kim Coates
Kim Strauss
Kin Shriner
King Bach
Kratt brothers
Kristoffer Tabori
Kristopher Kyer
Krizz Kaliko
Kurt Heinecke
Kurt Naebig
Kurt Russell
Kurtwood Smith
Kwesi Boakye
Kyle Bornheimer
Kyle C. Jones
Kyle Chandler
Kyle Hebert
Kyle Kinane
Kyle Massey
Kyle McCarley
Kyle Mooney
Kyle Rea
Kyle Sullivan
Leraldo Anzaldua
Leslie Jordan
Leslie Nielsen
Leslie Odom Jr.
Levi Stubbs
Lewis Arquette
Lewis Black
Lex Lang
Maury Chaykin
Maury Sterling
Max Brooks
Max Burkholder
Max Casella
Max Charles
Max Gilardi
Max Greenfield
Max Mittelman
Max Simonet
Maxwell Atoms
Maxwell Caulfield
Maxwell Powers
Micah Solusod
Michael-Leon Wooley
Michael Ansara
Michael B. Jordan
Michael Beach
Michael Beck
Michael Bell
Michael Biehn
Michael Brandon
Michael Carrington
Michael Chiklis
Michael Clarke Duncan
Michael Colyar
Michael Cornacchia
Michael Cudlitz
Michael Dorn
Michael Ealy
Michael Ensign
Michael Forest
Michael Gough
Michael Gregory
Michael Gross
Michael Hollick
Michael Horse
Michael Horton
Michael J. Fox
Michael J. Woodard
Michael Jeter
Michael Johnston
Michael Jones
Michael Keaton
Michael Lerner
Michael Lindsay
Michael Madsen
Michael Massee
Michael McConnohie
Michael McDonald
Michael McKean
Michael Park
Michael Pataki
Nat Wolff
Nathan Fillion
Nathan Kress
Nathan Lane
Nathan Lee Graham
Stacy Harris
Stacy Keach
Val Bettin
Val Kilmer
Vance Colvig
Wally Kurth
Wally Wingert
Walt Disney
Walt Dohrn
Walter Catlett
Walter Emanuel Jones
Walter Tetley
Walton Goggins
Warren Burton
Warren Munson
Warren Tufts
Wil Wheaton
Wyatt Cenac
Cody Arens
Cody Cameron
Cody Christian
Cole Sanchez
Colin Ford
Colin Hanks
Collin Dean
Colman Domingo
Common
Conan O'Brien
Conrad Vernon
Coolio
Cooper Andrews
Corbin Bleu
Corey Burton
Corey Feldman
Corey Johnson
Cory Danziger
Cory Edwards
Courtland Mead
Couzin Ed
Cr1TiKaL
Craig Anton
Craig Ferguson
Craig Grant
Craig Kellman
Craig Raisner
Craig Robinson
Craig Sechler
Craig Shoemaker
Craig T. Nelson
Creagen Dow
Eli Marienthal
Eli Wallach
Elijah Kelley
Elijah Wood
Elliott Gould
Ellis Henican
Elmer Dresslar Jr.
Elmo Shropshire
Eloy Casados
Elwood Edwards
Emilio Delgado
Eric André
Eric Bogosian
Eric Brosius
Eric Burroughs
Eric Chase Anderson
Eric Edelstein
Eric Goldberg
Eric Kelso
Eric Ladin
Eric Lloyd
Eric Loren
Eric Nelsen
Eric Roberts
Eric Server
Eric Steinberg
Eric Stough
Eric Stuart
Eric Vale
Erik Bauersfeld
Erik Dellums
Erik Per Sullivan
Erik Scott Kimerer
Erik Thompson
Erik Valdez
Erik von Detten
Ernest Borgnine
Francesco Quinn
Francis Jue
Frank Buxton
Frank Gehry
Frank Gerstle
Frank Gorshin
Frank Graham
Frank Grillo
Frank Langella
Frank Nelson
Frank Oz
Frank Readick
Frank Sinatra
Frank Vincent
Frank Welker
Frank Zappa
Frank de Kova
Frankie Darro
Frankie Jonas
Frankie Muniz
Gerald Mohr
Gerry Rosenthal
Giancarlo Esposito
Gil Birmingham
Gilbert Gottfried
Giovanni Ribisi
Glacier
Glenn Fleshler
Glenn Rockowitz
Glenn Shadix
Glenn Taranto
Glenn Wrage
Goran Višnjić
Gordon Hunt
Gordon Jump
Gore Vidal
Ike Amadi
Ike Eisenmann
Illich Guardiola
Justin Berfield
Justin Briner
Justin Chambers
Justin Cook
Justin Gross
Justin Kirk
Justin Long
Justin McElroy
Justin Roiland
Justin Shenkarow
Justin Timberlake
Kane Kosugi
Karan Soni
Kareem Abdul-Jabbar
Laurence Fishburne
Lavell Crawford
Lawrence Dobkin
Lazlow Jones
LeBron James
LeVar Burton
Lin-Manuel Miranda
Lino DiSalvo
Lionel Stander
Lionel Wilson
Luis van Rooten
Luke Kruytbosch
Luke Perry
Luke Wilson
Mako
Malachi Pearson
Malachi Throne
Malcolm Danare
Mario Lopez
Mark-Paul Gosselaar
Mark Dacascos
Mark Duplass
Mark Elliott
Mark Famiglietti
Mark Feuerstein
Mark Hamill
Mark Harmon
Mark Hentemann
Mark L. Taylor
Mark Lambert
Mark Laskowski
Mark Moseley
Mark Rolston
Mark Ruffalo
Mark Valley
Mark Walton
Marklen Kennedy
Marlon Wayans
Marshall Efron
Martin Burke
Martin Landau
Martin Lawrence
Martin Mull
Martin Sheen
Martin Sherman
Martin Short
Martin Vidnovic
Mel Blanc
Mel Brandt
Mel Brooks
Mel Winkler
Michael Perreca
Michael Pritchard
Michael Ralph
Michael Reisz
Michael Richards
Michael Rooker
Michael Rosenbaum
Michael Rubin
Michael Rye
Michael Shapiro
Michael Showalter
Michael Sinterniklaas
Michael Sorich
Michael Sorvino
Michael Stipe
Michael Strahan
Michael T. Scott
Michael T. Weiss
Michael Tucker
Michael Wallis
Michael Welch
Michael Winslow
Michael Yama
Michael Yarmush
Michael Yingling
Mick Wingert
Mickey Rooney
Micky Dolenz
Pierce Brosnan
